"Index","Adjusted"
2005-01-03,1.344
2005-01-04,1.351
2005-01-05,1.374
2005-01-06,1.3925
2005-01-07,1.394
2005-01-10,1.392
2005-01-11,1.375
2005-01-12,1.3575
2005-01-13,1.351
2005-01-14,1.3475
2005-01-17,1.335
2005-01-18,1.34
2005-01-19,1.3425
2005-01-20,1.35
2005-01-21,1.345
2005-01-24,1.335
2005-01-25,1.3325
2005-01-26,1.32
2005-01-27,1.335
2005-01-28,1.336
2005-01-31,1.332
2005-02-01,1.308
2005-02-02,1.325
2005-02-03,1.324
2005-02-04,1.31
2005-02-07,1.319
2005-02-08,1.329
2005-02-09,1.331
2005-02-10,1.33
2005-02-11,1.3175
2005-02-14,1.3095
2005-02-15,1.311
2005-02-16,1.315
2005-02-17,1.3035
2005-02-18,1.307
2005-02-21,1.299
2005-02-22,1.294
2005-02-23,1.301
2005-02-24,1.299
2005-02-25,1.2915
2005-02-28,1.278
2005-03-01,1.279
2005-03-02,1.28
2005-03-03,1.28
2005-03-04,1.253
2005-03-07,1.2565
2005-03-08,1.252
2005-03-09,1.2565
2005-03-10,1.2745
2005-03-11,1.2615
2005-03-14,1.288
2005-03-15,1.302
2005-03-16,1.3145
2005-03-17,1.316
2005-03-18,1.315
2005-03-21,1.335
2005-03-22,1.3475
2005-03-23,1.358
2005-03-24,1.3635
2005-03-25,1.351
2005-03-27,1.378
2005-03-28,1.388
2005-03-29,1.361
2005-03-30,1.3485
2005-03-31,1.35
2005-04-03,1.364
2005-04-04,1.355
2005-04-05,1.351
2005-04-06,1.3445
2005-04-07,1.347
2005-04-10,1.344
2005-04-11,1.347
2005-04-12,1.339
2005-04-13,1.364
2005-04-14,1.364
2005-04-17,1.369
2005-04-18,1.361
2005-04-19,1.3505
2005-04-20,1.3625
2005-04-21,1.3535
2005-04-24,1.363
2005-04-25,1.36
2005-04-26,1.374
2005-04-27,1.3925
2005-04-28,1.3815
2005-05-01,1.375
2005-05-02,1.361
2005-05-03,1.339
2005-05-04,1.34
2005-05-05,1.3445
2005-05-08,1.35
2005-05-09,1.364
2005-05-10,1.367
2005-05-11,1.357
2005-05-12,1.3665
2005-05-15,NA
2005-05-16,1.3735
2005-05-17,1.3645
2005-05-18,1.357
2005-05-19,1.376
2005-05-22,1.38
2005-05-23,1.375
2005-05-24,1.3773
2005-05-25,1.377
2005-05-26,1.3615
2005-05-29,1.357
2005-05-30,1.357
2005-05-31,1.349
2005-06-01,1.34
2005-06-02,1.3565
2005-06-05,1.358
2005-06-06,1.363
2005-06-07,1.351
2005-06-08,1.3575
2005-06-09,1.361
2005-06-12,1.373
2005-06-13,1.379
2005-06-14,1.366
2005-06-15,1.3605
2005-06-16,1.351
2005-06-19,1.355
2005-06-20,1.353
2005-06-21,1.3455
2005-06-22,1.347
2005-06-23,1.348
2005-06-26,1.3433
2005-06-27,1.3375
2005-06-28,1.3345
2005-06-29,1.3265
2005-06-30,1.3285
2005-07-03,1.337
2005-07-04,1.3395
2005-07-05,1.348
2005-07-06,1.3485
2005-07-07,1.3425
2005-07-10,1.3365
2005-07-11,1.324
2005-07-12,1.328
2005-07-13,1.328
2005-07-14,1.325
2005-07-17,1.331
2005-07-18,1.331
2005-07-19,1.3285
2005-07-20,1.325
2005-07-21,1.3345
2005-07-24,1.333
2005-07-25,1.339
2005-07-26,1.336
2005-07-27,1.323
2005-07-28,1.3213
2005-07-31,1.319
2005-08-01,1.3135
2005-08-02,1.3105
2005-08-03,1.31
2005-08-04,1.3145
2005-08-07,1.322
2005-08-08,1.324
2005-08-09,1.321
2005-08-10,1.328
